0.000000000000000000e+00 1.284000000000000000e+03 1.403184051513671875e+02 1.282641199384416723e+03 1.142322794233049535e+03 6.301487299578425589e-06
1.000000000000000000e+00 6.990000000000000000e+03 6.780635942731578325e+01 1.259423915318080390e+03 1.327230274745396173e+03 1.326232272609014772e-05
2.000000000000000000e+00 8.939000000000000000e+03 9.119298335484086238e+01 1.424182452610560858e+03 1.515375435965401721e+03 5.148876536937468498e-06
3.000000000000000000e+00 2.116000000000000000e+03 2.213699013846257913e+01 1.281431117466517890e+03 1.259294127328055310e+03 1.454669681591644304e-05
4.000000000000000000e+00 3.321000000000000000e+03 3.024940490722678987e+01 1.512680964878627037e+03 1.542930369785853827e+03 9.970826271080188193e-06
5.000000000000000000e+00 9.185000000000000000e+03 5.675769696916859175e+01 1.070544143676757812e+03 1.127301840645926404e+03 7.072337402592871365e-06
6.000000000000000000e+00 4.791000000000000000e+03 9.794969177246093750e+01 1.435840277535574842e+03 1.533789969308035779e+03 7.224329309503275564e-06
7.000000000000000000e+00 8.754000000000000000e+03 1.242645220075335146e+02 1.218675722394670856e+03 1.342940244402204371e+03 9.776472206868825929e-06
8.000000000000000000e+00 7.458000000000000000e+03 1.094905046735489123e+02 1.073113248552594996e+03 1.182603753226143908e+03 5.608799410282054945e-06
9.000000000000000000e+00 1.279000000000000000e+03 7.154308210100452925e+01 1.196436536516462183e+03 1.124893454415457654e+03 4.850140834048363940e-06
1.000000000000000000e+01 4.224000000000000000e+03 1.000884748186383604e+02 8.516126905168805479e+02 9.517011653355189083e+02 1.256926099923191229e-05
1.100000000000000000e+01 1.340000000000000000e+02 8.078912898472367488e+01 1.437701083592006171e+03 1.518490212576729846e+03 2.805570482890738309e-06
1.200000000000000000e+01 6.116000000000000000e+03 1.139960512433732447e+02 9.370835658482143344e+02 1.051079617091587579e+03 8.259318941383262769e-06
1.300000000000000000e+01 6.958000000000000000e+03 8.287300109863281250e+01 1.446171061924525702e+03 1.529044063023158515e+03 9.331296707401731571e-06
1.400000000000000000e+01 6.109000000000000000e+03 8.265622820173007312e+01 1.100681704929896796e+03 1.018025476728166723e+03 8.062316087233152906e-06
